categories,update_date,text
hep-ph,2008-11-26,calculation prompt diphoton production cross section tevatron lhc energy fully differential calculation perturbative quantum chromodynamics presented production massive photon pair hadron collider next leading order perturbative contribution quark antiquark gluon anti quark gluon gluon subprocesses included order resummation initial gluon radiation valid next next leading logarithmic accuracy region phase space specified calculation reliable good agreement demonstrated data fermilab tevatron prediction made detailed test cdf data prediction shown distribution diphoton pair produced energy large hadron collider lhc distribution diphoton pair decay higgs boson contrasted produced qcd process lhc showing enhanced sensitivity signal obtained judicious selection event
math.CO cs.CG,2008-12-13,sparsity certifying graph decomposition describe algorithm ell pebble game color obtain characterization family ell sparse graph algorithmic solution family problem concerning tree decomposition graph special instance sparse graph appear rigidity theory received increased attention recent year particular colored pebble generalize strengthen previous result lee streinu give proof tutte nash williams characterization arboricity decomposition certifies sparsity ell pebble game color expose connection pebble game algorithm previous sparse graph algorithm gabow gabow westermann hendrickson
physics.gen-ph,2008-01-13,evolution earth moon system dark matter field fluid evolution earth moon system described dark matter field fluid meeting division particle field american physical society current behavior earth moon system agrees pattern evolution moon earth system described agrees geological fossil evidence closest distance moon earth billion year ago far beyond roche limit suggests tidal friction primary cause evolution earth moon system average dark matter field fluid constant earth moon system data predicts mar rotation slowing angular acceleration rate rad
math.CO,2007-05-23,determinant stirling cycle number count unlabeled acyclic single source automaton determinant stirling cycle number count unlabeled acyclic single source automaton proof involves bijection automaton marked lattice path sign reversing involution evaluate determinant
math.CA math.FA,2013-10-15,dyadic lambda alpha lambda alpha compute lambda alpha norm alpha dyadic grid consequence description hardy space term dyadic special atom
cond-mat.mes-hall,2015-05-13,bosonic character atomic cooper pair across resonance particle wave function paired atom fermi gas tunable interaction strength controlled feshbach resonance cooper pair wave function examined bosonic character quantified correction bose enhancement factor associated creation annihilation composite particle operator example three dimensional uniform gas definition cooper pair wave function examined chosen reflect diagonal long range order odlro another corresponds pair projection bcs side negative scattering length paired atom described odlro bosonic pair projected definition k f definition give similar result atom occupy corresponding molecular condensate
gr-qc,2008-11-26,polymer quantum mechanic continuum limit rather non standard quantum representation canonical commutation relation quantum mechanic system polymer representation gained attention recent year due possible relation planck scale physic particular followed symmetric sector loop quantum gravity loop quantum cosmology explore aspect relation ordinary schroedinger theory polymer description part derive polymer quantum mechanic starting ordinary schroedinger theory polymer description arises appropriate limit second part consider continuum limit theory namely reverse process start discrete theory try recover back ordinary schroedinger quantum mechanic consider several example interest including harmonic oscillator free particle simple cosmological
cond-mat.mtrl-sci,2009-02-05,numerical solution shock ramp compression material property formulation developed represent material model application dynamic loading numerical method devised calculate response shock ramp compression ramp decompression generalizing previous solution scalar equation numerical method flexible robust matched analytic result high accuracy basic ramp shock solution method coupled solve composite deformation path shock induced impact shock interaction planar interface material calculation capture much physic typical material dynamic experiment without requiring spatially resolving simulation example calculation made loading history metal illustrating effect plastic temperature induced quasi isentropic shock release experiment effect phase transition
astro-ph,2010-03-18,spitzer survey large nearby insterstellar cloud serpens yso population observed irac mips discus result combined irac mips spitzer legacy observation serpens star forming region particular criterion isolating bona fide young stellar object yso extensive background contamination extra galactic object discus property resulting high confidence yso object deg field covered irac mips additional confidence yso outside area identified mips data combined mass photometry describe set result color color diagram compare observed source property theoretical model star disk envelope system modeling subset object appear star disk object exhibit wide range disk property fit actively accreting disk passive disk even possibly debris disk luminosity function yso serpens extends least lsun assumed distance limit inability distinguish yso extra galactic source lack yso low luminosity spatial clustering analysis show nominally le evolved yso highly clustered later stage background extra galactic population fit point correlation function seen extra galactic study match several previous infrared ray study serpens yso population spitzer data
math.CO,2007-05-23,partial cube structure characterization construction partial cube isometric subgraphs hypercubes structure graph defined mean semicubes djokovi winkler relation play important role theory partial cube structure employed characterize bipartite graph partial cube arbitrary dimension characterization established proof result operation cartesian product pasting expansion contraction process utilized construct partial cube old one particular isometric lattice dimension finite partial cube obtained mean operation calculated
